protocol,current_runs,current_benchmark,total_energy_J
cooldown_1min,1,2,60.22529649999986
cooldown_1min,2,2,60.394302499999846
cooldown_1min,3,2,60.89871049999984
cooldown_1min,4,2,60.30917699999984
cooldown_1min,5,2,59.875032999999846
cooldown_1min,6,2,61.01847699999984
cooldown_1min,7,2,60.61162049999984
cooldown_1min,8,2,60.89808299999984
cooldown_1min,9,2,60.34036549999984
cooldown_1min,10,2,60.47050649999984
cooldown_1min,11,2,60.84211049999984
cooldown_1min,12,2,60.55200249999984
